# m1_source_msun	m2_source_msun	lambda_1	lambda_2  (run IMRPhenomPv2NRT_lowSpin_posterior, z=0.0099)
1.372943e+00	1.351455e+00	3.831439e+02	9.499923e+02
1.481017e+00	1.254724e+00	3.086297e+02	1.376446e+03
1.514397e+00	1.228018e+00	1.374031e+02	1.184175e+03
1.532840e+00	1.213620e+00	1.378878e+02	1.184755e+02
1.369884e+00	1.354281e+00	3.531405e+02	2.785470e+02
1.399811e+00	1.325626e+00	3.265821e+02	1.564849e+02
1.489484e+00	1.247716e+00	9.045406e+02	1.338218e+03
1.378531e+00	1.346172e+00	3.367003e+02	1.531763e+03
1.434210e+00	1.294290e+00	7.347392e+02	5.472159e+02
1.679441e+00	1.114259e+00	2.814424e+02	4.713855e+01
1.461304e+00	1.270844e+00	2.091490e+02	2.610451e+02
1.521149e+00	1.222673e+00	7.324878e+01	6.377379e+02
1.395659e+00	1.329759e+00	2.077416e+02	4.807861e+02
1.526614e+00	1.218408e+00	2.595094e+02	1.354577e+02
1.369729e+00	1.354584e+00	2.302416e+02	8.018002e+02
1.692403e+00	1.106394e+00	3.326168e+01	6.968163e+02
1.363305e+00	1.360919e+00	8.996018e+02	4.558999e+02
1.397135e+00	1.328106e+00	3.394149e+00	9.854589e+02
1.544890e+00	1.204791e+00	6.205039e+02	3.164513e+02
1.470126e+00	1.263617e+00	1.777470e+02	5.264493e+02
1.386865e+00	1.337984e+00	2.183676e+02	3.821748e+02
1.601862e+00	1.164086e+00	1.286191e+02	7.084498e+01
1.435554e+00	1.293324e+00	2.756909e+02	1.053101e+03
1.430592e+00	1.297562e+00	6.720471e+02	6.110439e+02
1.435785e+00	1.293014e+00	2.793368e+01	1.373068e+03
1.362458e+00	1.361767e+00	4.847198e+02	1.998128e+02
1.403752e+00	1.321941e+00	6.871432e+02	5.299935e+02
1.378889e+00	1.345475e+00	3.357086e+02	2.859308e+02
1.438845e+00	1.290199e+00	2.218807e+01	6.419531e+02
1.525002e+00	1.219494e+00	1.013338e+02	9.386185e+02
1.594336e+00	1.169339e+00	2.938189e+01	3.833582e+02
1.709410e+00	1.096332e+00	7.474311e+01	1.766534e+03
1.483393e+00	1.252662e+00	2.798827e+02	3.416269e+02
1.392632e+00	1.332358e+00	8.277727e+01	4.010552e+02
1.431653e+00	1.296692e+00	1.736049e+02	5.051275e+02
1.458804e+00	1.272828e+00	6.731665e+01	9.204697e+02
1.400088e+00	1.325372e+00	4.814637e+02	5.592494e+01
1.417281e+00	1.309619e+00	1.013248e+03	1.558427e+02
1.599604e+00	1.165930e+00	5.629877e+02	1.689814e+02
1.471821e+00	1.262274e+00	1.923010e+02	1.144058e+03
1.599862e+00	1.165396e+00	2.465811e+01	6.890914e+02
1.487918e+00	1.249027e+00	1.139886e+03	2.534605e+02
1.490060e+00	1.247392e+00	7.518061e+02	1.786482e+02
1.452727e+00	1.278214e+00	4.053769e+02	8.655393e+02
1.424081e+00	1.303204e+00	4.552124e+02	5.789984e+02
1.426837e+00	1.300802e+00	8.508841e+02	1.370244e+02
1.379078e+00	1.345361e+00	3.995464e+02	7.546992e+02
1.607319e+00	1.160527e+00	2.426155e+02	2.768912e+02
1.392292e+00	1.332900e+00	2.061585e+01	4.829988e+02
1.364643e+00	1.359678e+00	2.831929e+02	3.747132e+02
1.462252e+00	1.270065e+00	3.129562e+02	7.882901e+02
1.596905e+00	1.167452e+00	1.976838e+02	9.445257e+01
1.464454e+00	1.268506e+00	7.313130e+02	4.775537e+02
1.449365e+00	1.281293e+00	8.475648e+02	2.748011e+02
1.536012e+00	1.211349e+00	1.858033e+02	4.858783e+02
1.505475e+00	1.234919e+00	4.142082e+02	1.887834e+02
1.431871e+00	1.296882e+00	2.125359e+03	7.447225e+02
1.372722e+00	1.351539e+00	7.003662e+02	5.775127e+02
1.530763e+00	1.215498e+00	8.759401e+01	1.694013e+03
1.532036e+00	1.214574e+00	3.144249e+02	1.177986e+03
1.552914e+00	1.198910e+00	1.966168e+02	1.040035e+03
1.522340e+00	1.221775e+00	2.076738e+02	2.967353e+02
1.491057e+00	1.246328e+00	3.541954e+02	5.699489e+01
1.664338e+00	1.123619e+00	1.646300e+02	2.738595e+02
1.414756e+00	1.311790e+00	1.082244e+03	2.204919e+01
1.380459e+00	1.344275e+00	4.711122e+02	8.586304e+02
1.496803e+00	1.241528e+00	1.154155e+02	2.359440e+02
1.455088e+00	1.276248e+00	6.818694e+02	3.962192e+02
1.423843e+00	1.303574e+00	4.036287e+02	2.154274e+01
1.478432e+00	1.256623e+00	5.691655e+01	5.831921e+02
1.522926e+00	1.221534e+00	1.190958e+03	2.886050e+02
1.364326e+00	1.359800e+00	4.726240e+02	1.626620e+02
1.379070e+00	1.345292e+00	6.648437e+01	3.212988e+02
1.366968e+00	1.357462e+00	1.504334e+02	2.710038e+03
1.403925e+00	1.321806e+00	3.390588e+02	4.529389e+02
1.537412e+00	1.210310e+00	8.498201e+01	1.937916e+03
1.530340e+00	1.215691e+00	4.022030e+02	1.246739e+03
1.500775e+00	1.238478e+00	1.737236e+02	4.403537e+01
1.413695e+00	1.312938e+00	1.404332e+03	2.412484e+02
1.391712e+00	1.333798e+00	1.118547e+02	3.354904e+03
1.542364e+00	1.206503e+00	5.301821e+02	1.093455e+03
1.426238e+00	1.301338e+00	2.835102e+02	2.733919e+02
1.542171e+00	1.206749e+00	3.780639e+02	8.092895e+02
1.544225e+00	1.205375e+00	5.754641e+02	1.234328e+03
1.569372e+00	1.186986e+00	3.063362e+02	9.015476e+02
1.451021e+00	1.279533e+00	3.644971e+02	1.814920e+02
1.419800e+00	1.307300e+00	1.049953e+03	4.400605e+02
1.411862e+00	1.314871e+00	5.484786e+02	3.404750e+02
1.431050e+00	1.297320e+00	1.014180e+03	2.439106e+01
1.600643e+00	1.165200e+00	5.785258e+01	9.075663e+02
1.471491e+00	1.262233e+00	2.343478e+01	4.496555e+02
1.463618e+00	1.268703e+00	4.517338e+02	2.000357e+02
1.400513e+00	1.325256e+00	1.218046e+03	4.521388e+02
1.385359e+00	1.339389e+00	3.555464e+02	6.189108e+02
1.466875e+00	1.266052e+00	2.132256e+02	1.848626e+02
1.394461e+00	1.330603e+00	1.388611e+02	3.335371e+02
1.396641e+00	1.328882e+00	9.534920e+02	7.839673e+02
1.468338e+00	1.264879e+00	4.582808e+02	1.145202e+03
1.563403e+00	1.191103e+00	2.735791e+02	5.791344e+02
1.365728e+00	1.358577e+00	2.989338e+02	1.557737e+03
1.448859e+00	1.281734e+00	8.859726e+01	1.628538e+03
1.537067e+00	1.210415e+00	2.343759e+02	9.204257e+02
1.624253e+00	1.149176e+00	7.386898e+01	3.445147e+02
1.475229e+00	1.259276e+00	4.415422e+01	3.871319e+02
1.523293e+00	1.221131e+00	1.520814e+02	6.464514e+02
1.412723e+00	1.313645e+00	1.756517e+02	9.416999e+02
1.588136e+00	1.173646e+00	5.254285e+02	9.368197e+02
1.466556e+00	1.266434e+00	1.682719e+02	6.207949e+02
1.364178e+00	1.360057e+00	1.107621e+03	3.974266e+02
1.542788e+00	1.206463e+00	7.406801e+02	2.048600e+02
1.556137e+00	1.196618e+00	3.121079e+02	9.767764e+02
1.532778e+00	1.213894e+00	6.449038e+02	4.467504e+02
1.414244e+00	1.312290e+00	4.966778e+02	3.923002e+01
1.420201e+00	1.306697e+00	2.143924e+02	3.202261e+02
1.531572e+00	1.214872e+00	4.784494e+02	8.911253e+02
1.399139e+00	1.326304e+00	5.682463e+02	7.309966e+02
1.598859e+00	1.166203e+00	6.083298e+01	5.026453e+02
1.392309e+00	1.332511e+00	2.040155e+02	1.399245e+02
1.430358e+00	1.297447e+00	3.152385e+02	9.485526e+01
1.550718e+00	1.200394e+00	1.691957e+02	3.512518e+02
1.383056e+00	1.341486e+00	1.861365e+01	3.067467e+02
1.455569e+00	1.275978e+00	3.881119e+02	1.540908e+02
1.450250e+00	1.280595e+00	5.822620e+02	1.354726e+03
1.377370e+00	1.347245e+00	8.483440e+02	3.079485e+02
1.405192e+00	1.320520e+00	1.214876e+02	9.664367e+02
1.495204e+00	1.243201e+00	6.985489e+02	1.850545e+02
1.615001e+00	1.155516e+00	5.733847e+02	3.743082e+02
1.493657e+00	1.244196e+00	2.275273e+02	4.656136e+02
1.390198e+00	1.334764e+00	8.499573e+01	4.976165e+02
1.429957e+00	1.298040e+00	3.766062e+01	3.483856e+02
1.424111e+00	1.303505e+00	8.243151e+02	1.094306e+03
1.565586e+00	1.189637e+00	3.150730e+02	8.675968e+02
1.455160e+00	1.276058e+00	1.918765e+02	3.718108e+02
1.500289e+00	1.238939e+00	7.879405e+02	1.332376e+02
1.563318e+00	1.191220e+00	4.031545e+01	6.408856e+02
1.449599e+00	1.280843e+00	3.382814e+02	3.853544e+02
1.423062e+00	1.304275e+00	4.639652e+02	8.833302e+01
1.570253e+00	1.186331e+00	2.106618e+02	1.887109e+02
1.459414e+00	1.272669e+00	3.193055e+02	2.886520e+02
1.449075e+00	1.281504e+00	4.348764e+02	6.410709e+02
1.512051e+00	1.229567e+00	1.468587e+02	3.040619e+02
1.405742e+00	1.320029e+00	3.479249e+02	9.666655e+02
1.382356e+00	1.342247e+00	1.450440e+02	3.930250e+02
1.492118e+00	1.245433e+00	1.084915e+02	5.864632e+02
1.473299e+00	1.260982e+00	1.780306e+02	9.823805e+02
1.449711e+00	1.280733e+00	3.773026e+02	5.463978e+01
1.416501e+00	1.310451e+00	1.790216e+03	1.557330e+02
1.522915e+00	1.221274e+00	1.040031e+02	2.421772e+02
1.607692e+00	1.160400e+00	2.920076e+02	2.639797e+02
1.519899e+00	1.223728e+00	1.225278e+02	1.721265e+03
1.389311e+00	1.335576e+00	6.302088e+02	1.044757e+03
